M1a  E(B,n) == 1 exactly whenever A[n]+1 <= B :  0 violations out of 216 cells
M1a' integer check: 0 mismatches

M1b  E(B,n) by lambda = n/B  (3x+1, complete scan of odd m < 2^B)
  B    n    lam        count       expected        E  regime
 31   16  0.516     33195968  33195968.0000   1.0000  vacuous
 31   20  0.645     20673550  20673741.5000   1.0000  mixed
 31   24  0.774     14107812  14107561.9609   1.0000  mixed
 31   28  0.903      9399714   9399006.5122   1.0001  mixed
 31   32  1.032      6365758   6364441.6067   1.0002  unique
 31   40  1.290      3206352   3206333.4964   1.0000  unique
 31   50  1.613      1427250   1426787.4240   1.0003  unique
 31   60  1.935       661115    660603.0844   1.0008  unique
 31   70  2.258       304314    303739.0701   1.0019  unique
 31   80  2.581       149599    149847.1114   0.9983  unique
 31  100  3.226        36388     37060.7221   0.9818  unique
 31  120  3.871         9879      9992.3876   0.9887  unique
 31  140  4.516         2643      2606.7051   1.0139  unique
 31  160  5.161          793       739.4654   1.0724  unique
 31  180  5.806          241       210.0549   1.1473  unique
 31  200  6.452           85        58.5909   1.4507  unique
 31  220  7.097           31        17.4250   1.7791  unique
 31  250  8.065            2         2.8377   0.7048  unique
 31  280  9.032            0         0.4579   0.0000  unique
 32   16  0.500     66391936  66391936.0000   1.0000  vacuous
 32   20  0.625     41347483  41347483.0000   1.0000  vacuous
 32   24  0.750     28215469  28215123.9219   1.0000  mixed
 32   28  0.875     18798231  18798013.0244   1.0000  mixed
 32   32  1.000     12732445  12728883.2133   1.0003  unique
 32   40  1.250      6412963   6412666.9927   1.0000  unique
 32   50  1.562      2852110   2853574.8480   0.9995  unique
 32   60  1.875      1321353   1321206.1688   1.0001  unique
 32   70  2.188       607723    607478.1402   1.0004  unique
 32   80  2.500       298970    299694.2228   0.9976  unique
 32  100  3.125        72804     74121.4443   0.9822  unique
 32  120  3.750        19950     19984.7753   0.9983  unique
 32  140  4.375         5235      5213.4102   1.0041  unique
 32  160  5.000         1489      1478.9307   1.0068  unique
 32  180  5.625          454       420.1097   1.0807  unique
 32  200  6.250          157       117.1818   1.3398  unique
 32  220  6.875           52        34.8500   1.4921  unique
 32  250  7.812            9         5.6753   1.5858  unique
 32  280  8.750            1         0.9158   1.0919  unique
